{'loss': 8.53182601928711, 'srcnode': 198259, 'dstnode': 100, 'srcmsg': "{'subject': 'sysctl'}", 'dstmsg': "{'file': '/sbin/sysctl'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522861860089894114}
{'loss': 8.53182601928711, 'srcnode': 198260, 'dstnode': 102, 'srcmsg': "{'subject': 'unlink'}", 'dstmsg': "{'file': '/bin/unlink'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522861860099898773}
{'loss': 8.53182601928711, 'srcnode': 198261, 'dstnode': 104, 'srcmsg': "{'subject': 'mv'}", 'dstmsg': "{'file': '/bin/mv'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522861860109897512}
{'loss': 8.53182601928711, 'srcnode': 198261, 'dstnode': 104, 'srcmsg': "{'subject': 'mv'}", 'dstmsg': "{'file': '/bin/mv'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522861860119890661}
{'loss': 8.53182601928711, 'srcnode': 198261, 'dstnode': 104, 'srcmsg': "{'subject': 'mv'}", 'dstmsg': "{'file': '/bin/mv'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522861860129890120}
{'loss': 8.53182601928711, 'srcnode': 198261, 'dstnode': 104, 'srcmsg': "{'subject': 'mv'}", 'dstmsg': "{'file': '/bin/mv'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522861860139889899}
{'loss': 8.53182601928711, 'srcnode': 198261, 'dstnode': 104, 'srcmsg': "{'subject': 'mv'}", 'dstmsg': "{'file': '/bin/mv'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522861860149888538}
{'loss': 8.53182601928711, 'srcnode': 198261, 'dstnode': 104, 'srcmsg': "{'subject': 'mv'}", 'dstmsg': "{'file': '/bin/mv'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522861860159889148}
{'loss': 8.53182601928711, 'srcnode': 198261, 'dstnode': 104, 'srcmsg': "{'subject': 'mv'}", 'dstmsg': "{'file': '/bin/mv'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522861860169887787}
{'loss': 8.53182601928711, 'srcnode': 198262, 'dstnode': 105, 'srcmsg': "{'subject': 'dd'}", 'dstmsg': "{'file': '/bin/dd'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522861860179889066}
{'loss': 8.53182601928711, 'srcnode': 198262, 'dstnode': 103, 'srcmsg': "{'subject': 'dd'}", 'dstmsg': "{'file': '/var/db/entropy/saved-entropy.8'}", 'edge_type': 'EVENT_WRITE', 'time': 1522861860189886155}
